,Name,Sectors,Assets
37,RSP,"[{'realestate': 0.0622}, {'consumer_cyclical': 0.119799994}, {'basic_materials': 0.0444}, {'consumer_defensive': 0.0677}, {'technology': 0.1444}, {'communication_services': 0.0464}, {'financial_services': 0.1426}, {'utilities': 0.0557}, {'industrials': 0.142}, {'energy': 0.0477}, {'healthcare': 0.1263}]",36371681280
38,VEU,"[{'realestate': 0.0274}, {'consumer_cyclical': 0.111499995}, {'basic_materials': 0.0833}, {'consumer_defensive': 0.080299996}, {'technology': 0.1114}, {'communication_services': 0.060700003}, {'financial_services': 0.2019}, {'utilities': 0.0325}, {'industrials': 0.1278}, {'energy': 0.0546}, {'healthcare': 0.091800004}]",52077596672
39,XLF,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0.9974}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",33721608192
40,MUB,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",32391526400
41,SCHX,"[{'realestate': 0.0324}, {'consumer_cyclical': 0.1035}, {'basic_materials': 0.0255}, {'consumer_defensive': 0.0674}, {'technology': 0.241}, {'communication_services': 0.0763}, {'financial_services': 0.1399}, {'utilities': 0.023699999}, {'industrials': 0.0889}, {'energy': 0.049099997}, {'healthcare': 0.1447}]",31246256128
42,IXUS,"[{'realestate': 0.033299997}, {'consumer_cyclical': 0.1142}, {'basic_materials': 0.0881}, {'consumer_defensive': 0.0801}, {'technology': 0.113900006}, {'communication_services': 0.060300004}, {'financial_services': 0.19440001}, {'utilities': 0.0295}, {'industrials': 0.1314}, {'energy': 0.0554}, {'healthcare': 0.091800004}]",31535441920
43,TLT,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",31215185920
44,SCHF,"[{'realestate': 0.028499998}, {'consumer_cyclical': 0.1013}, {'basic_materials': 0.0833}, {'consumer_defensive': 0.089499995}, {'technology': 0.096099995}, {'communication_services': 0.045900002}, {'financial_services': 0.19319999}, {'utilities': 0.0309}, {'industrials': 0.14899999}, {'energy': 0.053200003}, {'healthcare': 0.1088}]",30812071936
45,USMV,"[{'realestate': 0.0127}, {'consumer_cyclical': 0.052699998}, {'basic_materials': 0.028499998}, {'consumer_defensive': 0.1258}, {'technology': 0.1758}, {'communication_services': 0.074}, {'financial_services': 0.1236}, {'utilities': 0.075}, {'industrials': 0.1192}, {'energy': 0.0050999997}, {'healthcare': 0.2002}]",30539827200
46,DIA,"[{'realestate': 0}, {'consumer_cyclical': 0.1389}, {'basic_materials': 0.0115}, {'consumer_defensive': 0.0672}, {'technology': 0.1491}, {'communication_services': 0.029000001}, {'financial_services': 0.21290001}, {'utilities': 0}, {'industrials': 0.1524}, {'energy': 0.0336}, {'healthcare': 0.2047}]",30255505408
